Unnamed: 0,index,Global_Idx,Block,Local_Idx,Speaker,Pulse_Samp,Pulse_Time,EstimatedTimeOut,MCS_Time,est_frame_time,closest_frame,frame,blue_x,red_x,blue_y,red_y,head_x,head_y,blue_zero_x,blue_zero_y,head_angle,speak_xpix,speak_ypix,h2s_x,h2s_y,h2s_distance,h2s_theta,A11,B30,B19,B16,A25,A13,B06,A28,A04,B21,B26,B11,A14,A02,A17,B29,B17,B01,A27,B32,A23,A24,A03,B13,B15,B10,B07,B08,A21,B02,A09,A16,A12,A18,A07,B03,A15,A26,B28,B04,B12,A19,B20,B22,A30,B05,B27,A01,B23,B25,A06,A29,A10,A08,A05,B18,A32,A31,B14,B09,A22,B31,A20,B24
31,83,84,1,1,43,63872,1.448345,63.893345,75.59275,69.87875,1747,1747,410.335255095132,403.793658314035,399.389260949531,406.091345798664,407.0644567045835,402.7403033740975,3.2707983905485207,-3.351042424566515,-2.368311982701216,274.7,399.1,97.26575576454772,-89.84972989890606,132.41450527549853,-0.7457854801130885,0,0,0,0,0,3,0,0,3,0,0,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,0,0,0,2,0,0,1,1,0,1,0,0,0,0,4,0,2,0,0,0,0,3,1,0,0,3,0,1,0,0,0,0,0,0,1
32,7,8,0,8,7,221518,5.023084,6.059084,17.86665,12.15265,304,304,268.436761602144,259.16739013872,405.198887811073,405.733506866506,263.802075870432,405.4661973387895,4.634685731712011,-0.2673095277164634,-1.6284083702262666,345.8,339.0,61.63446720067931,85.68901565034864,105.5529011928962,0.9472470651436288,0,0,0,0,0,1,1,0,0,0,0,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,2,0,2,0,1,0,0,3,0,0,0,1,0,0,4,0,0,0,0,0,0
33,11,12,0,12,7,348293,7.8978,8.9338,20.74135,15.02735,376,376,382.665982098111,392.007034646669,383.833476964911,387.113984422934,387.33650837239,385.4737306939225,-4.670526274278984,-1.6402537290114765,1.908533098457589,345.8,339.0,-30.085061758798723,54.58917687005472,62.33048349227568,2.074497253912826,1,0,0,1,1,2,1,0,0,1,0,3,0,0,3,0,1,0,0,0,0,0,1,0,0,1,0,0,3,0,0,0,0,0,0,1,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,1,1,0,3,0,0,0,0,0,0
34,21,22,0,22,7,647543,14.683515,15.719515,27.61995,21.90595,548,548,374.603143267027,381.433858531396,213.478219148683,209.196262292829,378.0185008992115,211.337240720756,-3.4153576321845094,2.140978427926996,1.010854854012221,345.8,339.0,91.0544686568858,95.1046562718929,131.66553044355496,0.8071513207943914,0,1,0,0,0,0,4,2,1,0,0,5,0,0,0,1,3,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,3,0,1,0,1,0,0,0,4,0,0,1,0,1,6,0,0,0,0,0,1
35,50,51,0,51,7,1487915,33.739569,34.775569,46.76895,41.05495,1026,1026,403.320025728985,408.513161408278,318.556820560283,325.511358650178,405.9165935686314,322.0340896052305,-2.596567839646468,-3.477269044947548,2.50019008259654,345.8,339.0,58.3199040274503,22.374890660031287,62.46476557083496,0.3663394502755466,1,0,0,0,0,1,1,5,0,1,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,0,1,0,1,2,0,0,0,0,0,0
36,65,66,0,66,7,1920192,43.541769,44.577769,56.5712,50.8572,1271,1271,301.646360811413,300.934121574449,293.59868780861,284.354707394305,301.29024119293103,288.97669760145754,0.356119618481955,4.621990207152464,-0.0768970498356054,345.8,339.0,40.535372530526274,53.29477446927545,66.95856488844036,0.9205531863644486,3,5,0,2,1,4,1,1,0,4,0,3,0,3,1,0,2,4,0,2,3,1,0,0,0,2,4,2,7,3,0,1,5,0,3,6,1,0,0,3,0,1,1,2,0,4,0,5,0,3,3,3,0,0,1,2,3,10,0,0,0,0,0,0
37,80,81,0,81,7,2336234,52.975828,54.011828,66.0053,60.2913,1507,1507,238.100202777233,229.470377266495,444.864558297452,441.391381579964,233.785290021864,443.127969938708,4.314912755368994,1.7365883587439723,-1.1881693510850793,345.8,339.0,138.41984142586452,65.03750360123705,152.9376649980063,0.4392435894219211,1,0,0,0,0,2,0,1,0,0,0,7,1,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,2,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
38,9,10,0,10,8,279575,6.339569,7.375569,19.18315,13.46915,337,337,336.400103307043,336.008364190837,406.198642526056,415.808671329223,336.20423374894006,411.0036569276395,0.1958695581029701,-4.805014401583492,-3.1008516360487626,344.6,277.3,-2.9430831942127336,133.9346670137284,133.96699879733947,1.592766812109225,1,0,0,0,0,2,1,0,0,0,0,5,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,3,1,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0
39,14,15,0,15,8,423021,9.592313,10.628313,22.4359,16.7219,418,418,403.620152815048,405.301359163497,393.569233723462,402.009230335056,404.4607559892725,397.789232029259,-0.8406031742244977,-4.219998305796992,2.9449711124715288,344.6,277.3,35.168944104390725,129.86189014945865,134.53982734717562,1.3063221814444237,0,0,0,0,0,0,0,0,0,0,0,6,0,4,0,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0
40,24,25,0,25,8,740686,16.795601,17.831601,29.73205,24.01805,600,600,371.453214249707,374.577025595255,146.438865232847,135.767118382879,373.015119922481,141.10299180786302,-1.561905672774003,5.335873424983987,0.284762653441752,344.6,277.3,10.99098433299292,138.6947812431669,139.1295945537757,1.4917157507285976,5,1,0,1,5,4,0,1,5,0,0,4,5,2,4,0,0,1,8,0,7,2,2,0,0,1,1,0,6,0,1,5,1,5,3,0,4,4,0,0,0,2,0,4,8,1,0,8,0,0,1,7,4,3,5,1,5,2,0,0,0,0,0,0
