scorer,DLC_resnet50_RV2_LowEOct20shuffle1_500000,DLC_resnet50_RV2_LowEOct20shuffle1_500000,DLC_resnet50_RV2_LowEOct20shuffle1_500000,DLC_resnet50_RV2_LowEOct20shuffle1_500000,DLC_resnet50_RV2_LowEOct20shuffle1_500000,DLC_resnet50_RV2_LowEOct20shuffle1_500000
bodyparts,red_LED,red_LED,red_LED,blue_LED,blue_LED,blue_LED
coords,x,y,likelihood,x,y,likelihood
120,179.114501953125,473.96099853515625,1.6724046872695908e-05,175.54725646972656,484.0832214355469,7.652680324099492e-06
121,178.8142852783203,483.420166015625,0.00012871623039245605,188.82159423828125,484.1110534667969,6.0303998907329515e-05
122,179.93531799316406,482.89373779296875,8.483676356263459e-05,190.1494598388672,483.962890625,4.1258808778366074e-05
123,189.5633544921875,472.5450439453125,3.170601848978549e-05,190.7469024658203,483.89111328125,1.5149200407904573e-05
124,179.03273010253906,483.0673522949219,1.3204537935962435e-05,653.2413940429688,289.99713134765625,8.69433642947115e-06
125,621.0178833007812,322.0263366699219,4.670552152674645e-05,189.90374755859375,484.2530212402344,2.3122453058022074e-05
126,613.291259765625,323.3367004394531,4.3973799620289356e-05,190.098876953125,484.0093688964844,1.3178332665120251e-05
127,179.6125030517578,483.52105712890625,4.2958094127243385e-05,190.3399658203125,484.01593017578125,2.3114846044336446e-05
128,189.76266479492188,473.1882629394531,1.6113419405883178e-05,190.8927764892578,484.371337890625,9.681859410193283e-06
129,180.12628173828125,482.4267883300781,0.00010463540820637718,189.4308319091797,483.77142333984375,4.502025694819167e-05
130,620.4854125976562,315.4642333984375,7.025505328783765e-05,647.8115234375,296.0220031738281,2.4052536900853738e-05
131,530.839111328125,174.33352661132812,9.474785656493623e-06,648.4205322265625,295.39617919921875,1.1671481843222864e-05
132,179.52761840820312,482.73968505859375,0.0001621842384338379,188.8276824951172,483.9712829589844,5.7244997151428834e-05
133,617.100341796875,315.2707824707031,6.776599184377119e-05,617.1223754882812,311.2459411621094,1.7527770978631452e-05
134,178.95091247558594,482.6916809082031,8.235264249378815e-05,189.53970336914062,483.9446105957031,3.048387952730991e-05
135,532.4129028320312,175.1376495361328,1.7522857888252474e-05,647.9852905273438,296.8670654296875,1.690295903244987e-05
136,618.380126953125,310.8953552246094,8.585119940107688e-05,647.1610717773438,297.2236633300781,3.141392153338529e-05
137,531.5647583007812,175.39266967773438,2.102718826790806e-05,648.9725952148438,296.48822021484375,8.150727808242664e-06
138,179.1988067626953,474.02606201171875,2.2810781956650317e-05,175.83450317382812,483.4366760253906,8.157796401064843e-06
139,532.4595947265625,175.3858184814453,1.566184073453769e-05,5.36866569519043,-0.13637351989746094,4.955466920364415e-06
