Chan,MeanRate
B08,"[10.9375  3.125   7.8125  6.25    3.125   4.6875  1.5625  3.125   1.5625
  0.      7.8125  7.8125  4.6875  4.6875  1.5625  7.8125  6.25    6.25
  3.125   4.6875  3.125   6.25    3.125   9.375   9.375   7.8125  4.6875
  6.25    1.5625  3.125   3.125   1.5625  6.25    1.5625  6.25    3.125
  4.6875  1.5625  0.      3.125   0.      4.6875  3.125   4.6875  7.8125
  9.375   1.5625  3.125   7.8125  4.6875]"
B10,"[7.8125 6.25   3.125  3.125  0.     0.     6.25   3.125  1.5625 1.5625
 4.6875 0.     0.     0.     1.5625 3.125  0.     4.6875 0.     1.5625
 4.6875 4.6875 3.125  4.6875 3.125  0.     3.125  0.     1.5625 0.
 0.     0.     0.     0.     1.5625 1.5625 0.     0.     3.125  4.6875
 1.5625 0.     0.     3.125  0.     1.5625 3.125  3.125  1.5625 4.6875]"
B13,"[1.5625 0.     3.125  0.     0.     1.5625 1.5625 4.6875 6.25   0.
 6.25   0.     1.5625 0.     0.     3.125  3.125  3.125  0.     3.125
 1.5625 3.125  1.5625 4.6875 1.5625 0.     3.125  0.     0.     0.
 1.5625 0.     0.     0.     1.5625 0.     0.     0.     0.     0.
 0.     0.     0.     3.125  0.     4.6875 0.     1.5625 4.6875 3.125 ]"
B29,"[25.     14.0625 14.0625 14.0625 15.625  26.5625 18.75   26.5625 21.875
 17.1875 20.3125 28.125  51.5625 23.4375 15.625  26.5625 10.9375 17.1875
 15.625  21.875  18.75   29.6875 18.75   18.75   26.5625 20.3125 29.6875
 26.5625 15.625  12.5    20.3125 32.8125 25.     15.625  20.3125 17.1875
 25.     18.75   21.875  20.3125 10.9375 15.625  15.625  25.     15.625
 29.6875 20.3125 25.     15.625  18.75  ]"
B18,"[54.6875 57.8125 50.     37.5    48.4375 45.3125 57.8125 45.3125 51.5625
 45.3125 62.5    43.75   56.25   62.5    60.9375 65.625  53.125  59.375
 64.0625 50.     76.5625 46.875  59.375  54.6875 56.25   53.125  57.8125
 57.8125 46.875  67.1875 53.125  60.9375 34.375  62.5    51.5625 59.375
 45.3125 51.5625 56.25   57.8125 54.6875 37.5    60.9375 46.875  42.1875
 46.875  51.5625 46.875  50.     50.    ]"
B22,"[4.6875 3.125  3.125  0.     0.     1.5625 1.5625 3.125  3.125  0.
 3.125  1.5625 0.     0.     0.     7.8125 0.     6.25   1.5625 4.6875
 9.375  4.6875 3.125  1.5625 7.8125 1.5625 4.6875 0.     0.     1.5625
 3.125  0.     0.     0.     6.25   0.     0.     0.     0.     1.5625
 0.     3.125  0.     1.5625 1.5625 4.6875 3.125  3.125  7.8125 1.5625]"
B03,"[3.125  1.5625 4.6875 0.     1.5625 0.     1.5625 1.5625 6.25   0.
 3.125  0.     1.5625 1.5625 6.25   1.5625 0.     4.6875 0.     3.125
 3.125  1.5625 0.     3.125  3.125  3.125  1.5625 1.5625 0.     0.
 0.     0.     0.     0.     1.5625 1.5625 0.     0.     0.     3.125
 1.5625 0.     0.     3.125  4.6875 1.5625 0.     0.     1.5625 1.5625]"
B11,"[51.5625 51.5625 56.25   60.9375 65.625  57.8125 51.5625 60.9375 48.4375
 46.875  64.0625 62.5    50.     67.1875 46.875  51.5625 35.9375 62.5
 34.375  78.125  70.3125 48.4375 62.5    51.5625 34.375  48.4375 53.125
 50.     46.875  57.8125 50.     53.125  70.3125 43.75   43.75   53.125
 45.3125 48.4375 56.25   64.0625 53.125  53.125  57.8125 56.25   59.375
 56.25   64.0625 56.25   56.25   59.375 ]"
B02,"[4.6875 0.     3.125  0.     1.5625 0.     3.125  3.125  3.125  0.
 4.6875 1.5625 4.6875 0.     0.     0.     0.     4.6875 0.     4.6875
 4.6875 1.5625 0.     3.125  1.5625 3.125  3.125  0.     0.     0.
 0.     0.     0.     0.     1.5625 1.5625 0.     0.     0.     3.125
 0.     0.     0.     3.125  1.5625 1.5625 1.5625 0.     1.5625 4.6875]"
B28,"[4.6875 3.125  4.6875 3.125  0.     1.5625 0.     3.125  6.25   0.
 3.125  1.5625 1.5625 0.     0.     6.25   0.     6.25   1.5625 6.25
 4.6875 3.125  1.5625 6.25   3.125  0.     4.6875 0.     0.     1.5625
 1.5625 0.     0.     0.     3.125  1.5625 0.     0.     0.     0.
 1.5625 0.     0.     3.125  1.5625 4.6875 6.25   4.6875 0.     0.    ]"
B19,"[ 12.5     14.0625  21.875   18.75    21.875    4.6875  17.1875  17.1875
   4.6875  10.9375  17.1875 137.5     76.5625  23.4375  23.4375  15.625
  17.1875  10.9375  15.625   15.625   14.0625  23.4375  21.875   21.875
  10.9375  14.0625  18.75    15.625   18.75     7.8125   6.25     9.375
  23.4375  26.5625  18.75    10.9375  15.625   17.1875  20.3125  17.1875
  23.4375  28.125   23.4375   9.375   15.625   15.625    9.375    7.8125
  12.5     12.5   ]"
B21,"[ 4.6875  1.5625  3.125   4.6875  0.      4.6875  0.      3.125   1.5625
  1.5625  1.5625  0.      1.5625  0.      1.5625  6.25    3.125  10.9375
  7.8125  4.6875  1.5625  3.125  10.9375  7.8125  1.5625  3.125   3.125
  0.      4.6875  3.125   3.125   0.      0.      3.125   3.125   1.5625
  0.      0.      3.125   0.      0.      1.5625  1.5625  7.8125  0.
  3.125   1.5625  0.      4.6875  0.    ]"
B15,"[ 84.375   82.8125 103.125  118.75    98.4375  89.0625  85.9375 114.0625
 109.375   79.6875  68.75    87.5    120.3125  90.625   75.      65.625
  84.375   75.      57.8125  73.4375  93.75    90.625  101.5625  85.9375
  82.8125  89.0625 109.375  120.3125  89.0625  85.9375  73.4375  87.5
  78.125  106.25    76.5625  53.125   62.5     79.6875  93.75   110.9375
  82.8125 100.      89.0625  65.625   64.0625  65.625   79.6875  89.0625
  75.      67.1875]"
B06,"[ 6.25    3.125   9.375   9.375   9.375   7.8125 10.9375  7.8125 17.1875
  4.6875 17.1875 10.9375  9.375   7.8125  9.375  10.9375  3.125  10.9375
  7.8125 20.3125  9.375  21.875   4.6875 14.0625 12.5     7.8125  7.8125
 10.9375  9.375   7.8125  3.125   9.375   4.6875  7.8125  9.375   3.125
  3.125   4.6875 10.9375  1.5625  7.8125  7.8125  0.      3.125   3.125
  7.8125  1.5625 14.0625 14.0625  3.125 ]"
B09,"[37.5    29.6875 29.6875 32.8125 26.5625 39.0625 37.5    26.5625 31.25
 23.4375 29.6875 32.8125 32.8125 34.375  50.     39.0625 35.9375 21.875
 35.9375 26.5625 34.375  37.5    20.3125 31.25   18.75   23.4375 29.6875
 32.8125 29.6875 26.5625 28.125  26.5625 20.3125 40.625  29.6875 18.75
 31.25   21.875  14.0625 23.4375 21.875  29.6875 34.375  18.75   14.0625
 34.375  18.75   29.6875 26.5625 14.0625]"
B12,"[ 9.375   6.25    6.25    9.375   1.5625  3.125   9.375   6.25    3.125
 10.9375 10.9375  3.125  10.9375 14.0625  9.375   6.25    9.375  15.625
  3.125  18.75    9.375  14.0625  7.8125  9.375  10.9375  4.6875 12.5
  4.6875  6.25    4.6875  9.375   6.25    4.6875  1.5625  4.6875  3.125
  1.5625  4.6875  3.125   3.125   6.25    9.375   4.6875  6.25    4.6875
  4.6875  7.8125  7.8125  9.375   6.25  ]"
B14,"[18.75   15.625  14.0625 12.5    18.75   21.875  20.3125 12.5    26.5625
 18.75   25.     17.1875 12.5    12.5    26.5625 29.6875 17.1875 21.875
 23.4375 20.3125  9.375  15.625  15.625  15.625  18.75    7.8125 17.1875
 14.0625 21.875  17.1875 12.5    18.75   17.1875 20.3125 10.9375 18.75
 14.0625 14.0625 18.75   25.     14.0625  7.8125 17.1875 18.75   17.1875
 14.0625 23.4375 23.4375 28.125  15.625 ]"
B04,"[ 4.6875  1.5625  4.6875  1.5625  4.6875  0.      1.5625  4.6875  7.8125
  1.5625  6.25    1.5625  3.125   1.5625  0.      6.25    0.     14.0625
  0.      9.375   4.6875  3.125   3.125   9.375   1.5625  0.      4.6875
  0.      1.5625  0.      0.      0.      0.      1.5625  1.5625  1.5625
  1.5625  0.      0.      3.125   3.125   4.6875  1.5625  7.8125  0.
  3.125   1.5625  1.5625  6.25    6.25  ]"
B17,"[53.125  48.4375 53.125  46.875  42.1875 51.5625 40.625  46.875  39.0625
 50.     53.125  46.875  68.75   65.625  79.6875 45.3125 12.5    29.6875
 15.625  14.0625 14.0625 25.     17.1875 25.     34.375  53.125  46.875
 28.125  28.125  34.375  46.875  40.625  51.5625 39.0625 25.     48.4375
 48.4375 46.875  37.5    68.75   46.875  39.0625 25.     37.5    34.375
 40.625  57.8125 37.5    51.5625 42.1875]"
B01,"[4.6875 1.5625 1.5625 0.     1.5625 0.     1.5625 4.6875 0.     0.
 4.6875 1.5625 0.     0.     0.     1.5625 0.     1.5625 0.     6.25
 4.6875 1.5625 1.5625 4.6875 1.5625 0.     1.5625 0.     0.     0.
 1.5625 0.     1.5625 1.5625 1.5625 1.5625 0.     3.125  0.     0.
 1.5625 4.6875 0.     4.6875 0.     1.5625 0.     1.5625 1.5625 4.6875]"
B16,"[ 4.6875  6.25   12.5     6.25   10.9375  6.25    4.6875  4.6875  6.25
  4.6875  7.8125  6.25    6.25   12.5     7.8125  4.6875  6.25   12.5
  4.6875  4.6875  9.375   9.375  14.0625  9.375   6.25    6.25    3.125
  6.25    6.25    3.125   6.25    9.375   9.375   7.8125  4.6875  4.6875
  4.6875 10.9375  9.375   4.6875 12.5     7.8125  4.6875  6.25    4.6875
  6.25    7.8125  6.25    4.6875  4.6875]"
B27,"[ 95.3125  82.8125  84.375   67.1875  76.5625  82.8125  73.4375  89.0625
  87.5     81.25    98.4375 156.25   237.5    168.75   101.5625 104.6875
 100.      90.625   71.875  101.5625  68.75    78.125   65.625   65.625
  89.0625 103.125   79.6875  50.      59.375   78.125   81.25    68.75
 101.5625  75.      75.      76.5625  71.875   71.875   73.4375  95.3125
  84.375   54.6875  67.1875  73.4375  96.875  107.8125  92.1875  92.1875
  82.8125  71.875 ]"
B20,"[ 9.375   4.6875  4.6875  3.125   1.5625  6.25    6.25   12.5     6.25
  6.25    3.125   3.125   4.6875  9.375   6.25   10.9375 15.625   9.375
 14.0625 10.9375  7.8125  9.375   7.8125  9.375   6.25   10.9375  3.125
 12.5     6.25   10.9375  1.5625  4.6875  4.6875  7.8125 12.5     1.5625
  4.6875  6.25    9.375  12.5     1.5625  3.125   4.6875  1.5625  3.125
  4.6875  4.6875  6.25    6.25   12.5   ]"
B23,"[ 7.8125 12.5    26.5625 14.0625 10.9375 14.0625 14.0625 17.1875  9.375
 20.3125 18.75   25.     21.875  28.125  20.3125 14.0625  6.25   14.0625
  3.125  14.0625  7.8125  7.8125  7.8125 12.5    10.9375 10.9375  7.8125
  7.8125  6.25   14.0625  7.8125  9.375  15.625  12.5     4.6875 15.625
 12.5    14.0625 15.625  21.875  10.9375 14.0625  9.375  14.0625 10.9375
 17.1875 20.3125 12.5     7.8125 17.1875]"
B32,"[ 7.8125  1.5625  3.125   0.      3.125   6.25    3.125  12.5     6.25
  3.125  12.5     6.25    6.25    0.      3.125   7.8125  1.5625  4.6875
  7.8125 14.0625  9.375   7.8125  0.      6.25    0.      1.5625  6.25
  6.25    3.125   4.6875  7.8125  0.      0.      3.125   3.125   0.
  0.      0.      0.      4.6875  1.5625  1.5625  0.      4.6875  3.125
  7.8125  7.8125  4.6875  1.5625  1.5625]"
B26,"[ 4.6875  1.5625  3.125   1.5625  1.5625  1.5625  0.      9.375  10.9375
  0.      3.125   1.5625  3.125   1.5625  3.125   3.125   3.125   9.375
  3.125   7.8125  9.375   6.25    4.6875 10.9375  3.125   1.5625  6.25
  3.125   6.25    3.125   1.5625  0.      0.      0.      1.5625  0.
  0.      0.      1.5625  0.      0.      1.5625  0.      6.25    0.
  3.125   4.6875  6.25    7.8125  1.5625]"
