Chan,MeanRate
A26,"[ 8.94308943  5.69105691  5.69105691 11.38211382  4.87804878  6.50406504
  8.94308943  7.31707317  6.50406504 10.56910569  8.94308943  5.69105691
  7.31707317  7.31707317 10.56910569 12.19512195  5.69105691 12.19512195
 10.56910569  3.25203252  5.69105691  4.06504065  5.69105691  5.69105691
  0.          8.1300813   7.31707317  5.69105691  6.50406504  3.25203252
  5.69105691  2.43902439  8.1300813   4.06504065  2.43902439  3.25203252
  4.87804878  2.43902439  4.87804878  4.87804878  6.50406504  0.81300813
  8.1300813   1.62601626  3.25203252  0.          3.25203252  0.
  1.62601626  4.06504065]"
A17,"[13.00813008  7.31707317  6.50406504 10.56910569 12.19512195  4.06504065
 13.82113821  8.94308943  6.50406504  7.31707317 13.00813008 12.19512195
 10.56910569  8.94308943 12.19512195 11.38211382  8.94308943  9.75609756
 12.19512195  8.94308943  4.87804878  8.1300813   6.50406504  4.06504065
  3.25203252  8.1300813   8.1300813   2.43902439  6.50406504  2.43902439
  6.50406504  4.87804878  4.87804878  4.06504065  2.43902439  4.06504065
  4.87804878  5.69105691  5.69105691  4.06504065  8.94308943  7.31707317
  8.1300813   3.25203252  4.06504065  4.87804878  3.25203252  1.62601626
  3.25203252  1.62601626]"
B03,"[ 8.1300813   6.50406504  5.69105691 10.56910569  7.31707317 11.38211382
 19.51219512 13.82113821  8.94308943 10.56910569 10.56910569 12.19512195
 14.63414634  8.94308943  9.75609756 18.69918699 11.38211382 13.82113821
 20.32520325 20.32520325 13.00813008 13.00813008 19.51219512 18.69918699
 13.00813008 17.07317073 17.07317073 15.44715447 15.44715447 21.13821138
 13.82113821 18.69918699 14.63414634 12.19512195  8.1300813  15.44715447
 16.2601626  15.44715447 13.82113821 16.2601626   9.75609756 15.44715447
  7.31707317 11.38211382  7.31707317 10.56910569  8.94308943  8.94308943
  8.1300813  12.19512195]"
B01,"[ 8.94308943 12.19512195  9.75609756  9.75609756 13.82113821 14.63414634
 17.88617886  8.94308943  8.94308943 15.44715447  8.94308943 10.56910569
 16.2601626  14.63414634 17.07317073  8.94308943  9.75609756 17.07317073
 18.69918699 10.56910569 13.82113821 14.63414634 16.2601626  17.07317073
 13.00813008  9.75609756 13.82113821 13.00813008 13.00813008 13.82113821
  6.50406504 10.56910569  4.87804878 17.07317073 16.2601626   7.31707317
 12.19512195  8.94308943  8.94308943 12.19512195 13.00813008 16.2601626
 18.69918699  8.1300813  13.82113821 10.56910569 11.38211382  9.75609756
 15.44715447 11.38211382]"
B08,"[ 6.50406504  3.25203252  4.87804878  4.87804878  2.43902439  4.06504065
 14.63414634  9.75609756  5.69105691  3.25203252  3.25203252  4.87804878
  7.31707317  2.43902439  5.69105691  4.06504065 10.56910569 22.76422764
 14.63414634 21.95121951 19.51219512 17.88617886 24.3902439  22.76422764
 15.44715447 10.56910569 19.51219512 20.32520325  9.75609756 17.07317073
 13.82113821 11.38211382  7.31707317  6.50406504  8.94308943  1.62601626
 11.38211382  9.75609756 19.51219512 12.19512195  6.50406504 12.19512195
 21.13821138 15.44715447  9.75609756 14.63414634 13.00813008 16.2601626
 16.2601626  13.00813008]"
B25,"[ 5.69105691  3.25203252  7.31707317  6.50406504  5.69105691  5.69105691
  8.1300813   6.50406504  2.43902439  4.87804878  6.50406504  7.31707317
  7.31707317 12.19512195  7.31707317  7.31707317  8.94308943  8.1300813
  8.94308943  8.94308943 11.38211382 12.19512195 13.82113821 10.56910569
 13.82113821 13.00813008 18.69918699  6.50406504  9.75609756 13.00813008
  8.94308943  7.31707317  7.31707317  4.06504065  8.1300813   4.06504065
  7.31707317  8.1300813  10.56910569  7.31707317  4.06504065  7.31707317
  9.75609756  8.1300813   4.87804878  8.94308943  9.75609756  8.1300813
  8.94308943 12.19512195]"
B15,"[22.76422764 10.56910569 14.63414634  9.75609756 18.69918699 19.51219512
 13.82113821 11.38211382 21.95121951 14.63414634  7.31707317 14.63414634
 17.07317073 21.13821138 16.2601626  19.51219512 17.07317073 16.2601626
 18.69918699 21.95121951 19.51219512 17.88617886 22.76422764 14.63414634
 25.20325203 23.57723577 19.51219512 21.13821138 13.82113821 11.38211382
 14.63414634 17.88617886 15.44715447 23.57723577 18.69918699 17.88617886
 19.51219512 22.76422764 22.76422764 15.44715447 16.2601626  17.88617886
 16.2601626  13.00813008 13.00813008 22.76422764 13.00813008 17.07317073
 27.64227642 11.38211382]"
B20,"[ 5.69105691  4.06504065  4.87804878  4.87804878  6.50406504  3.25203252
 12.19512195  7.31707317  7.31707317  3.25203252  1.62601626  2.43902439
  8.94308943  4.87804878  6.50406504  9.75609756  4.87804878 24.3902439
 20.32520325 21.13821138 21.13821138 17.07317073 26.01626016 28.45528455
 15.44715447 20.32520325 31.70731707 19.51219512 12.19512195 19.51219512
 17.88617886 11.38211382  4.87804878 10.56910569  8.1300813   1.62601626
 10.56910569  7.31707317 24.3902439  18.69918699  8.94308943 14.63414634
 24.3902439  17.88617886 11.38211382 10.56910569 12.19512195 15.44715447
 21.13821138 16.2601626 ]"
B18,"[ 4.87804878  4.87804878  1.62601626  2.43902439  4.06504065  4.06504065
 11.38211382  7.31707317  8.94308943  4.87804878  2.43902439  4.06504065
  8.94308943  5.69105691  6.50406504  2.43902439  5.69105691 27.64227642
 22.76422764 20.32520325 19.51219512 18.69918699 23.57723577 27.64227642
 15.44715447 13.00813008 23.57723577 22.76422764 13.82113821 17.07317073
 17.07317073 12.19512195 13.00813008  7.31707317  8.1300813   1.62601626
  4.87804878 11.38211382 21.95121951 13.82113821  8.94308943  9.75609756
 19.51219512 15.44715447 12.19512195 19.51219512 13.82113821 15.44715447
 20.32520325 17.88617886]"
B32,"[ 2.43902439  0.81300813  6.50406504  4.06504065  5.69105691  7.31707317
  8.94308943  5.69105691  1.62601626  4.87804878  6.50406504  4.87804878
  8.1300813   8.94308943  4.87804878  8.1300813   8.94308943  5.69105691
 10.56910569 13.00813008 10.56910569 13.82113821 13.82113821 13.00813008
 13.00813008 15.44715447 14.63414634 12.19512195  5.69105691 12.19512195
  9.75609756 12.19512195  8.1300813   4.06504065 10.56910569  3.25203252
  6.50406504  4.87804878 11.38211382  5.69105691  3.25203252  8.1300813
  7.31707317  9.75609756  7.31707317  8.1300813   8.94308943 10.56910569
  7.31707317 11.38211382]"
