Unnamed: 0,index,Global_Idx,Block,Local_Idx,Speaker,Pulse_Samp,Pulse_Time,EstimatedTimeOut,MCS_Time,est_frame_time,closest_frame,frame,blue_x,red_x,blue_y,red_y,head_x,head_y,blue_zero_x,blue_zero_y,head_angle,speak_xpix,speak_ypix,h2s_x,h2s_y,h2s_distance,h2s_theta,A18,B03,B01,B08,A19,B25,A21,B15,B20,A15,A01,B18,A16,B32,A23,B10,B31,A13,A25,A10,A28,A30,A12,A32,A02,A31,B17,A07,B07,B13,B09,B12,B19,A14,B22,B02,B23,A20,B04,B27,A22,B11,A03,B24,A29,A04,B16,A11,B06,B21,B29,B26,A05,A09,A06,B30,A24,A27,A08,B14,A26,B05,B28,A17
30,213,214,2,48,40,1416337,32.116485,153.823485,171.5725,165.9335,4148,4148,270.196773531991,274.744240909653,410.305559146412,298.845242340193,272.470507220822,354.5754007433025,-2.273733688830987,55.7301584031095,0.0407763664431157,270.8,282.1,-4.623583229639637,-72.34705789039181,72.49465019763258,-1.6346179122739326,2,0,0,1,3,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,3,0,2,0,0,0,1,4,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
31,227,228,2,62,40,1829520,41.485714,163.192714,180.94175,175.30275,4383,4383,269.879972849844,268.788830323901,410.525515612121,298.522213116963,269.3344015868725,354.523864364542,0.5455712629715208,56.00165124757905,-0.0097417485407729,270.8,282.1,2.1710527854474697,-72.40615055369904,72.4386920657885,-1.540820938208768,1,1,0,0,0,0,0,2,0,0,0,0,1,0,0,6,0,2,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,3,0,4,0,0,0,0,2,6,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0
32,500,501,6,3,40,117083,2.654943,365.756943,383.5062,377.8672,9447,9447,392.43993673649,383.039557611832,384.349156635163,379.685083859547,387.739747174161,382.017120247355,4.700189562329001,2.332036387807989,-1.1102270841023416,270.8,282.1,37.53090157652996,-149.1635572602568,153.81266328778358,-1.324303833926309,1,1,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,4,0,0,8,6,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,5,3,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,1,0,2,0,0,0,0
33,508,509,6,11,40,358276,8.124172,371.226172,388.97545,383.33645,9583,9583,380.542411107584,373.150833041268,388.057072639771,380.676522486971,376.846622074426,384.366797563371,3.695789033157951,3.6902750763999848,-0.7861446984466762,270.8,282.1,-2.5627743218347816,-147.3017858854365,147.32407792775638,-1.588192692860995,3,2,1,0,1,4,0,0,0,0,0,0,1,4,0,15,12,0,0,0,0,1,1,0,0,0,3,0,2,2,2,0,2,1,7,0,3,0,5,3,11,5,2,3,0,0,2,0,4,3,16,6,0,0,0,6,1,2,0,1,0,1,4,0
34,746,747,8,83,40,2385568,54.094512,537.780512,555.5043,549.8653,13747,13747,394.739323720777,398.879217696318,212.667472384943,220.550157599755,396.8092707085475,216.608814992349,-2.069946987770493,-3.941342607406,2.6579980566931747,270.8,282.1,142.01077862288048,0.6085828863891848,142.0120826486478,0.0042854434483032,2,1,0,0,2,0,0,3,0,0,0,0,3,0,1,17,0,2,4,0,0,0,3,1,0,0,0,1,0,1,0,0,0,1,0,3,2,1,0,2,2,6,1,0,0,1,0,1,0,0,0,2,1,0,1,0,0,3,0,1,0,1,0,0
35,759,760,9,13,40,412214,9.347256,553.330256,571.0361,565.3971,14135,14135,218.999844189382,228.009873995433,227.16369924979,228.373846934353,223.50485909240751,227.7687730920715,-4.505014903025511,-0.605073842281513,1.7043084966030655,270.8,282.1,47.55197135831751,-54.10658546542737,72.03271875189667,-0.8497857943013354,16,0,0,0,22,0,23,1,0,17,25,0,23,0,30,0,0,19,28,24,20,21,13,24,24,26,0,25,0,2,0,0,0,15,0,0,0,25,0,0,16,4,29,0,30,21,0,27,0,2,0,2,25,22,24,0,27,23,22,0,19,0,0,24
36,171,172,2,6,21,187934,4.261542,125.968542,143.7175,138.0785,3452,3452,294.195141181262,292.652516407199,280.805980028021,287.646129247961,293.42382879423053,284.226054637991,0.7713123870314575,-3.4200746099700154,-2.919778548036039,268.5,160.5,51.53288176976336,115.21152691701836,126.21146476468472,1.1501989167446287,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,13,2,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,4,1,0,0,0,0,0,0,0,5,1,0,1,0,0,0,1,0,0,0,0,0,0
37,237,238,2,72,21,2088547,47.359342,169.066342,186.8154,181.1764,4529,4529,265.387376379995,272.48901686247,412.448886832742,295.548710440201,268.93819662123246,353.9987986364715,-3.5508202412374885,58.450088196270485,0.0606750456430555,268.5,160.5,-12.17073630292379,-193.11615744903716,193.49929480501115,-1.633735964648554,0,1,1,0,2,1,0,0,0,0,0,0,2,1,0,9,0,0,2,0,0,0,1,0,0,0,0,1,0,2,0,0,0,2,1,0,1,0,1,1,10,4,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
38,298,299,3,50,21,1450405,32.889002,214.882002,232.6242,226.9852,5675,5675,383.587024141334,375.489335565728,413.92133861896,408.518413431556,379.538179853531,411.219876025258,4.048844287802979,2.70146259370199,-0.9824119903667344,268.5,160.5,146.93027846973598,-231.51981964426216,274.20782924509257,-1.005299385839721,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,3,0,0,1,0,0,2,0,1,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,1,2,7,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,1,0,0,0,0,0,0
39,313,314,3,65,21,1905944,43.218685,225.211685,242.9539,237.3149,5933,5933,369.958685431523,368.321746519086,410.44236636801,400.512101465149,369.1402159753045,405.4772339165795,0.8184694562185086,4.96513245143052,-0.1633741931664152,268.5,160.5,-59.45494791411658,-258.084109114653,264.8439129165978,-1.7972165077478313,2,1,0,0,2,0,0,0,0,0,0,0,1,0,0,6,0,1,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,1,2,2,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0
